,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,g_x,r2_score,cv_beta,heat_max,beta_max,threshold_lm,rc_y,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
0,1,0,good,0,quickshift,blend_2,100,100,False,30000,5000,3,0.2976433502655619,lm_p_maxloss,19.567534180924927,0.9950259363280867,1.7148456835227708,1.6705393,1.6705392071470657,1.6705393,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004096731582346062,0.36917284,19.50085,0.0,0.0,0.0,0.0,0.0
1,2,0,good,0,quickshift,blend_3,100,100,False,30000,5000,3,0.29550726492136076,lm_p_maxloss,19.55492314878863,0.9950192793103808,1.6981150798720341,1.3615971,1.361597034536994,1.3615971,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004096731582346062,0.36917284,19.50085,0.0,0.0,0.0,0.0,0.0
2,3,0,good,1,quickshift,blend_2,100,100,False,30000,5000,3,0.4778235637887515,lm_p_maxloss,24.564488173773736,0.9962132044194012,2.0643271748378806,2.890568,2.890568030571169,2.890568,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005056803299036498,0.28849027,24.587036,0.0,0.0,0.0,0.0,0.0
3,4,0,good,1,quickshift,blend_3,100,100,False,30000,5000,3,0.511181988510071,lm_p_maxloss,24.55238672687836,0.9966887180729335,2.2059027761522834,3.2237558,3.223755881357282,3.2237558,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005056803299036498,0.28849027,24.587036,0.0,0.0,0.0,0.0,0.0
4,5,0,good,2,quickshift,blend_2,100,100,False,30000,5000,3,0.2829785161037938,lm_p_maxloss,20.069483951861713,0.9956458795315468,1.6173363771784248,1.5675133,1.5675133805707617,1.5675133,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0030042478513981528,0.2816726,20.102152,0.0,0.0,0.0,0.0,0.0
5,6,0,good,2,quickshift,blend_3,100,100,False,30000,5000,3,0.3021107872563663,lm_p_maxloss,20.061006813021855,0.9950298774038174,1.731002021826619,1.6867845,1.6867844480689798,1.6867845,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0030042478513981528,0.2816726,20.102152,0.0,0.0,0.0,0.0,0.0
6,7,0,good,3,quickshift,blend_2,100,100,False,30000,5000,3,0.42884170744862593,lm_p_maxloss,27.243429981046624,0.9803438952094996,1.7556732111191904,2.6327524,2.6327523132317645,2.6327524,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005661250247309606,0.29258174,27.576553,0.0,0.0,0.0,0.0,0.0
7,8,0,good,3,quickshift,blend_3,100,100,False,30000,5000,3,0.5167867016753236,lm_p_maxloss,27.350225749271853,0.986057711272107,2.107994488627634,2.989371,2.9893709836091693,2.989371,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.005661250247309606,0.29258174,27.576553,0.0,0.0,0.0,0.0,0.0
8,9,0,good,4,quickshift,blend_2,100,100,False,30000,5000,3,0.3799624221926434,lm_p_maxloss,27.40643135284946,0.9914271089038427,1.6763120419513293,2.6319885,2.631988494981522,2.6319885,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0074047989619430155,0.3135944,27.23207,0.0,0.0,0.0,0.0,0.0
9,10,0,good,4,quickshift,blend_3,100,100,False,30000,5000,3,0.4387501582965794,lm_p_maxloss,27.360223069762466,0.9921085358386172,1.9478194524646224,3.189136,3.1891361187598632,3.189136,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0074047989619430155,0.3135944,27.23207,0.0,0.0,0.0,0.0,0.0
10,11,0,good,5,quickshift,blend_2,100,100,False,30000,5000,3,0.3674295974501793,lm_p_maxloss,28.50457583574317,0.9860467645779235,1.6212921039852337,1.8003594,1.8003593237807551,1.8003594,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004718169181918104,0.3596251,28.338972,0.0,0.0,0.0,0.0,0.0
11,12,0,good,5,quickshift,blend_3,100,100,False,30000,5000,3,0.3590437848145941,lm_p_maxloss,28.579130668345535,0.9861745137506026,1.5846829314844606,1.5538925,1.5538925280036666,1.5538925,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.004718169181918104,0.3596251,28.338972,0.0,0.0,0.0,0.0,0.0
12,13,0,good,6,quickshift,blend_2,100,100,False,30000,5000,3,0.3352957126569554,lm_p_maxloss,25.74890036790314,0.9898358445728537,1.4263317081872329,1.9484613,1.948461315481241,1.9484613,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0033334057588945143,0.2642216,25.280617,0.0,0.0,0.0,0.0,0.0
13,14,0,good,6,quickshift,blend_3,100,100,False,30000,5000,3,0.32496308978211885,lm_p_maxloss,25.7224092253811,0.9902107599311235,1.3869091484893512,1.3110275,1.3110275290735187,1.3110275,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0033334057588945143,0.2642216,25.280617,0.0,0.0,0.0,0.0,0.0
14,15,0,good,7,quickshift,blend_2,100,100,False,30000,5000,3,0.3182386700807083,lm_p_maxloss,17.19549718679558,0.9928821372818781,2.367471341895835,2.1777549,2.177754769363598,2.1777549,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003910679884332542,0.29597923,17.639444,0.0,0.0,0.0,0.0,0.0
15,16,0,good,7,quickshift,blend_3,100,100,False,30000,5000,3,0.30935575042350577,lm_p_maxloss,17.264234023514963,0.9913094638435652,2.270376307327892,1.9154795,1.9154795658388803,1.9154795,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003910679884332542,0.29597923,17.639444,0.0,0.0,0.0,0.0,0.0
16,17,0,good,8,quickshift,blend_2,100,100,False,30000,5000,3,0.4136566149230951,lm_p_maxloss,27.857437167675723,0.9950755726090894,1.6268246901221224,2.0442536,2.044253691212331,2.0442536,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0032921188685577363,0.33242,28.405447,0.0,0.0,0.0,0.0,0.0
17,18,0,good,8,quickshift,blend_3,100,100,False,30000,5000,3,0.41143717382146705,lm_p_maxloss,27.906181053354388,0.9940220901921888,1.6135890079282251,1.9900832,1.990083231056352,1.9900832,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0032921188685577363,0.33242,28.405447,0.0,0.0,0.0,0.0,0.0
18,19,0,good,9,quickshift,blend_2,100,100,False,30000,5000,3,0.39669417037465543,lm_p_maxloss,23.625829561472017,0.9979015466630142,1.7804613464685122,2.1456878,2.145687728716283,2.1456878,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.003704758819367271,0.31307763,23.627554,0.0,0.0,0.0,0.0,0.0
