,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,cv_beta,heat_max,beta_max,threshold_lm,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
0,1,0,manipulated_front,0,quickshift,blend_2,100,100,False,30000,5000,3,0.46636251158983405,lm_p_loss,1.5431468475574652,2.3145492,2.31454919472282,2.2300832,0.11764705882352941,0.013777614688477203,0.018260153704992003,0.38571428571428573,0.0331056594782493,0.05460609100839585,0.03761573929417258,0.34562302,33.362762,0.9084351888077608,0.9190664963445159,0.9319877254922294,0.9353731139257213,0.9190664963445159
1,2,0,manipulated_front,1,quickshift,blend_2,100,100,False,30000,5000,3,0.46747790568124964,lm_p_loss,1.5567590163596468,2.1391373,2.139137289942988,1.081119,0.02406417112299465,0.005799441014182687,0.003649486812952702,0.3670886075949367,0.0353287026304564,0.06623292099300589,0.016441154696318943,0.38504577,31.697142,0.8336792032936464,0.8403833314788027,0.8806345276510515,0.878986313564037,0.8343746522755091
2,3,0,manipulated_front,2,quickshift,blend_2,100,100,False,30000,5000,3,0.37367144342736947,lm_p_loss,1.4516441583194677,2.6940103,2.6940102420071295,2.6940103,0.06521739130434782,0.0069117776434085175,0.008120661834291176,0.2777777777777778,0.01718112256993183,0.03785083120068646,0.01933658971878079,0.3531178,29.259853,0.7139552839681305,0.9341039516301033,0.9592833795439779,0.9697456678554127,0.9341039516301033
3,4,0,manipulated_front,3,quickshift,blend_2,100,100,False,30000,5000,3,0.8989677883449564,lm_p_loss,1.8724428182381152,6.0876055,6.087605500628024,4.3245497,0.4642857142857143,0.01985835664856628,0.05259059649521482,0.3464052287581699,0.05212165846827638,0.07275445244439235,0.01168075249006506,0.42104915,49.28144,0.8945503778694015,0.8490896854076053,0.9362685435910016,0.959012255988829,0.8490896854076053
4,5,0,manipulated_front,4,quickshift,blend_2,100,100,False,30000,5000,3,0.4572826336414436,lm_p_loss,1.6969174040837107,3.2135293,3.2135294477674363,3.2135293,0.3055555555555556,0.009352835873127895,0.031070051586482027,0.47761194029850745,0.0359705316457544,0.07737849759184778,0.00957275420660153,0.41543642,31.690037,0.9490313955418855,0.9044511241404019,0.9442325000218449,0.9227580542278689,0.9044511241404019
5,6,0,manipulated_front,5,quickshift,blend_2,100,100,False,30000,5000,3,0.4818066891462325,lm_p_loss,1.6460224593382153,2.9294198,2.929419655046578,2.7423513,0.6792452830188679,0.020938008245226146,0.07526995667530757,0.3867924528301887,0.036929057013744694,0.06396803747940957,0.011746989907502817,0.4780928,33.71673,0.9748230155957565,0.9318539514011689,0.9769875255557436,0.9772984562710164,0.9383678898608975
6,7,0,manipulated_front,6,quickshift,blend_2,100,100,False,30000,5000,3,0.42492087735109896,lm_p_loss,1.4591037541986696,2.1596029,2.1596028283317117,2.1130674,0.1171875,0.009169263006798357,0.01298647737288954,0.22167487684729065,0.03292003694157239,0.04497976336871046,0.0073153342042739196,0.3853849,33.45003,0.8911696384825366,0.840972671834535,0.9034043186113249,0.8968872488975992,0.844846385700287
7,8,0,manipulated_front,7,quickshift,blend_2,100,100,False,30000,5000,3,0.5282714333167161,lm_p_loss,1.5814258567936725,3.3625786,3.362578587702179,3.3625786,0.21428571428571427,0.017783662123755473,0.029403021504797254,0.5681818181818182,0.0555501218552982,0.09817701084509577,0.010705514000922753,0.3918295,36.90715,0.9144170266944597,0.9163116850853391,0.9632457233356236,0.9686855394982513,0.9163116850853391
8,9,0,manipulated_front,8,quickshift,blend_2,100,100,False,30000,5000,3,0.5796626495685707,lm_p_loss,1.8039641261818071,3.5462756,3.5462756658298713,1.9944074,0.07228915662650602,0.010297408009201758,0.010233496545180949,0.5180722891566265,0.04882263343032793,0.08662927355532592,0.011491468559446124,0.43448642,34.50508,0.9500634409919719,0.9360174867880676,0.9634305172911289,0.9621864018878141,0.9385966299196413
9,10,0,manipulated_front,9,quickshift,blend_2,100,100,False,30000,5000,3,0.6217081644978089,lm_p_loss,1.7603132045233074,5.1928697,5.1928698474415755,1.8108835,0.05961538461538462,0.016776513839110135,0.012108079494378154,0.32338308457711445,0.04575261192533107,0.06053493382821729,0.011233093896104643,0.33632982,40.047817,0.8679280056193451,0.8518120880827694,0.9245990073417762,0.9342868137803773,0.8427038345538719
