,exp_no,a_type_id,a_type,img_no,seg_type,mask_type,target_segs,segs,use_stratification,epochs,num_samples,sig_factor,sigma,score_function,g_x,r2_score,cv_beta,heat_max,beta_max,threshold_lm,rc_y,IoU_lm_max,IoU_lm_mean,IoU_lm_std,IoU_sp_max,IoU_sp_mean,IoU_sp_std,threshold_sp,anomaly_score,anomaly_score_val,AM_roc_score,auroc,auroc_gs1,auroc_gs2,LIME_roc_abs
0,1,0,good,0,quickshift,blend_2,100,100,False,30000,5000,3,0.0878490586638199,lm_p_maxloss,6.824237893066624,0.9933164991428992,1.3916677206458978,0.5105752,0.5105751681082396,0.5105752,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0017022974182812807,0.27246168,6.6444397,0.0,0.0,0.0,0.0,0.0
1,2,0,good,0,quickshift,blend_3,100,100,False,30000,5000,3,0.08616238947949,lm_p_maxloss,6.8218561520117955,0.9936827063482181,1.3658710079094256,0.44998628,0.4499862694999489,0.44998628,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0017022974182812807,0.27246168,6.6444397,0.0,0.0,0.0,0.0,0.0
2,3,0,good,1,quickshift,blend_2,100,100,False,30000,5000,3,0.07258595574959152,lm_p_maxloss,7.05126775500005,0.9854965325722509,1.2237151829015354,0.37913537,0.3791353722555893,0.37913537,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0015499770282379661,0.28732735,6.9846554,0.0,0.0,0.0,0.0,0.0
3,4,0,good,1,quickshift,blend_3,100,100,False,30000,5000,3,0.08079704285053002,lm_p_maxloss,7.011556448090306,0.9891299835696838,1.3708260954062075,0.43684396,0.43684395317227415,0.43684396,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0015499770282379661,0.28732735,6.9846554,0.0,0.0,0.0,0.0,0.0
4,5,0,good,2,quickshift,blend_2,100,100,False,30000,5000,3,0.09159634058037429,lm_p_maxloss,7.243594640674707,0.9911165090484446,1.447976861028613,0.68639773,0.6863977529665876,0.68639773,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002581146464459986,0.44098556,7.38314,0.0,0.0,0.0,0.0,0.0
5,6,0,good,2,quickshift,blend_3,100,100,False,30000,5000,3,0.10029045150944975,lm_p_maxloss,7.258807695618085,0.9931427300621737,1.5830092216123712,0.7729655,0.7729654802119573,0.7729655,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.002581146464459986,0.44098556,7.38314,0.0,0.0,0.0,0.0,0.0
6,7,0,good,3,quickshift,blend_2,100,100,False,30000,5000,3,0.09263513890944632,lm_p_maxloss,7.809764464213419,0.9874228252895045,1.5668032045504516,0.54731226,0.547312230179407,0.54731226,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0025580460375446514,0.24718837,7.588206,0.0,0.0,0.0,0.0,0.0
7,8,0,good,3,quickshift,blend_3,100,100,False,30000,5000,3,0.1077667775315979,lm_p_maxloss,7.836023971994683,0.9890411613907871,1.8092528761631284,0.71564835,0.7156483699524245,0.71564835,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0025580460375446514,0.24718837,7.588206,0.0,0.0,0.0,0.0,0.0
8,9,0,good,4,quickshift,blend_2,100,100,False,30000,5000,3,0.12846313942607668,lm_p_maxloss,9.322495170107306,0.988420799136095,1.5306135456360834,0.5638136,0.5638136265793434,0.5638136,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0020635535571879395,0.25377923,9.117439,0.0,0.0,0.0,0.0,0.0
9,10,0,good,4,quickshift,blend_3,100,100,False,30000,5000,3,0.12699663817262244,lm_p_maxloss,9.367410440739047,0.9872702748365239,1.5038328320262098,0.5840677,0.5840677121708916,0.5840677,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0020635535571879395,0.25377923,9.117439,0.0,0.0,0.0,0.0,0.0
